"date","open","high","low","close","volume","tweet_count","price_action","ticker","percent_change"
"2016-10-28","40.79999923706055","41.06399917602539","39.965999603271484","39.99399948120117",21400500,337,"-0.805999755859375","TSLA","-1.975489634635208"
"2019-08-08","1806.0","1834.260009765625","1798.1099853515625","1832.8900146484375",3701200,404,"26.8900146484375","AMZN","1.4889266139777133"
"2017-01-06","45.38600158691406","46.0620002746582","45.09000015258789","45.801998138427734",27639500,318,"0.4159965515136719","TSLA","0.9165745757908189"
"2015-02-24","30.29810412194173","30.448524306297198","29.894705801207234","30.12261390686035",276912400,1639,"-0.1754902150813784","AAPL","-0.5792118687528349"
"2018-11-15","1581.010009765625","1624.8199462890625","1546.510009765625","1619.43994140625",8427300,734,"38.429931640625","AMZN","2.430720324555187"
"2015-06-11","50.652000427246094","50.874000549316406","50.08599853515625","50.28200149536133",10220500,311,"-0.3699989318847656","TSLA","-0.7304724961775456"
"2018-07-26","60.970001220703125","62.13999938964844","60.72800064086914","61.33000183105469",23152500,1100,"0.3600006103515625","TSLA","0.59045531104454"
"2019-09-23","1777.0","1792.699951171875","1767.3199462890625","1785.300048828125",2922300,469,"8.300048828125","AMZN","0.4670820949985931"
"2018-06-20","45.04426812545406","45.24972674772412","44.89440006695484","45.08052444458008",82514800,508,"0.0362563191260179","AAPL","0.08049041672747219"
"2015-01-05","24.583149774486255","24.664874299819694","23.929355303784284","24.120044708251953",257142000,1145,"-0.46310506623430214","AAPL","-1.8838312847727023"
"2019-11-18","65.67119799407114","66.07392326986708","65.28330385392805","65.99239349365234",86703200,358,"0.32119549958120786","AAPL","0.4890964523141571"
"2018-10-18","1121.8399658203125","1121.8399658203125","1077.0899658203125","1087.969970703125",2094500,130,"-33.8699951171875","GOOG","-3.019146772188764"
"2018-06-08","63.79999923706055","64.89600372314453","63.43000030517578","63.53200149536133",41026000,738,"-0.26799774169921875","TSLA","-0.4200591612915608"
"2016-08-25","53.654756693433384","54.03482652154816","53.56205457912242","53.923583984375",18552600,247,"0.2688272909416156","MSFT","0.5010316093270374"
"2016-11-23","56.938347692191165","57.02234146569355","56.22906970714873","56.36906051635742",21848900,247,"-0.5692871758337432","MSFT","-0.9998308677858215"
"2016-05-18","46.505103351783596","47.113133490341355","46.339276630875084","46.809120178222656",24907500,475,"0.30401682643906014","MSFT","0.65372788044218"
"2015-03-04","29.422938623212104","29.527774407178786","29.24517057422355","29.295307159423828",126665200,1258,"-0.12763146378827628","AAPL","-0.43378217730973445"
"2017-05-30","65.19999694824219","67.25599670410156","65.1520004272461","67.0199966430664",38914500,528,"1.8199996948242188","TSLA","2.7914107055388238"
"2016-03-17","24.49466506697555","24.715192404746595","24.364671197827914","24.559663772583008",137682800,1594,"0.06499870560745791","AAPL","0.265358621682446"
"2017-01-18","809.5","811.72998046875","804.27001953125","807.47998046875",2354200,464,"-2.02001953125","AMZN","-0.24953916383570104"
"2016-04-07","53.290000915527344","53.86800003051758","50.902000427246094","51.439998626708984",44281000,766,"-1.8500022888183594","TSLA","-3.471574886536202"
"2019-11-29","1817.780029296875","1824.68994140625","1800.7900390625","1800.800048828125",1923400,294,"-16.97998046875","AMZN","-0.9341053480116583"
"2019-10-18","52.13999938964844","52.560001373291016","51.02000045776367","51.38999938964844",28749000,747,"-0.75","TSLA","-1.4384349995771202"
"2015-11-20","49.277306517444586","49.32272269680441","48.38713623486883","49.22280502319336",37147600,236,"-0.054501494251226745","MSFT","-0.11060160975302646"
"2016-07-14","721.5800170898438","722.2100219726562","718.030029296875","720.9500122070312",950200,665,"-0.6300048828125","GOOG","-0.08730908116792517"
"2016-06-16","22.525534082004018","22.829144906012587","22.436787152467797","22.78243637084961",125307200,826,"0.2569022888455912","AAPL","1.1404936633703802"
"2018-04-25","1458.0","1469.989990234375","1415.02001953125","1460.1700439453125",6587300,265,"2.1700439453125","AMZN","0.1488370332861797"
"2015-01-29","40.2140007019043","41.19599914550781","39.29999923706055","41.040000915527344",17740500,270,"0.8260002136230469","TSLA","2.0540115362954485"
"2019-06-27","49.15077403807672","49.46488698860066","48.97409088609283","49.01580810546875",83598800,676,"-0.13496593260796885","AAPL","-0.27459574187664226"
"2019-08-01","1214.030029296875","1234.1099853515625","1205.719970703125","1209.010009765625",1698500,113,"-5.02001953125","GOOG","-0.4135004415135781"
"2018-09-28","110.35808349308815","110.72532902880273","109.86519569968736","110.53204345703125",21647800,131,"0.17395996394310487","MSFT","0.15763228069650212"
"2018-12-13","1068.0699462890625","1079.760009765625","1053.9300537109375","1061.9000244140625",1329800,136,"-6.169921875","GOOG","-0.5776702075025124"
"2018-08-03","103.78312043827285","104.02380484806002","102.83963432006078","104.01417541503906",18659600,190,"0.23105497676621667","MSFT","0.22263252038527923"
"2016-09-20","53.16344578586439","53.16344578586439","52.607247229644166","52.66286849975586",17384000,441,"-0.5005772861085305","MSFT","-0.9415817178683117"
"2015-07-23","40.57754854615092","41.438039137282985","40.4251680806231","41.33047866821289",33934000,205,"0.7529301220619686","MSFT","1.8555337841703834"
"2015-02-13","378.4100036621094","383.0","377.010009765625","381.8299865722656",3475100,207,"3.41998291015625","AMZN","0.9037770875661173"
"2016-12-21","27.566782103761472","27.708391921968033","27.562060756110217","27.628145217895508",95132800,944,"0.06136311413403561","AAPL","0.22259803085853339"
"2019-11-04","1801.010009765625","1815.06005859375","1801.010009765625","1804.6600341796875",2771900,322,"3.6500244140625","AMZN","0.20266541519874715"
